"id_marine";"identifier";"mmsi";"name";"flag";"type";"length";"port";"col11";"col12";"col13";"col14";"col15"
"1865";"713218";"538003999";"STAR EXPRESS";"MH";"7";"143";"JP TMK";"22";"112";"18";"52";"0"
"1866";"663786";"431500021";"HOUSEN MARU";"JP";"8";"72";"JP MUR OFF";"12";"52";"3";"324";"0"
"1867";"663401";"431400366";"SHUHO MARU NO.31";"JP";"8";"76";"JP TMK S/OFF";"11";"58";"7";"49";"0"
"1868";"662336";"431100125";"SHIMOKITAMARU";"JP";"7";"94";"JP SYZ/MUR";"17";"74";"17";"166";"0"
"1869";"662335";"431100123";"FUYO MARU NO.5";"JP";"7";"98";"JP MUR";"16";"78";"12";"329";"0"
"1870";"302201";"256613000";"MAJORCA";"MT";"7";"225";"VANCOUVER";"32";"192";"16";"87";"0"
"1871";"413255";"353903000";"SEATTLE BRIDGE";"PA";"7";"293";"MX ZLO";"40";"220";"28";"68";"0"
"1872";"416138";"355181000";"HANJIN SHIMANAMI";"PA";"7";"200";"VAN>TXG";"32";"170";"11";"268";"0"
"1873";"133837";"211377300";"HANJIN GENEVA";"DE";"7";"279";"KRBUN -> CAPRR";"40";"183";"25";"55";"0"
"1874";"664131";"431501827";"12 YUUKIMARU";"JP";"7";"72";"JP HIM";"12";"60";"6";"157";"0"
"1875";"664897";"431999516";"HAMAGIRI";"JP";"0";"0";"";"0";"0";"0";"15";"0"
"1876";"660509";"431000298";"YUUKIMARU NO.8";"JP";"7";"75";"JP MUR OFF";"12";"65";"10";"157";"0"
"1877";"664928";"431999561";"NAGASHIMA";"JP";"0";"0";"";"0";"0";"0";"222";"0"
"1878";"661336";"431002691";"SENSHOU MARU";"JP";"7";"75";"JP NGO OFF";"12";"60";"5";"151";"0"
"1879";"415278";"354804000";"KOA MARU";"PA";"8";"93";"JP TMK";"14";"76";"5";"45";"0"
"1880";"376819";"312235000";"XINHAI18";"BZ";"7";"97";"JP SYZ";"16";"69";"10";"153";"0"
"1881";"465006";"373431000";"GREENERY SEA";"PA";"7";"180";"JP TMK";"28";"151";"7";"50";"0"
"1882";"463078";"372578000";"GOLDEN HEIWA";"PA";"7";"225";"VANCOUVER";"32";"183";"19";"53";"0"
"1883";"3448915";"538006227";"GLOVIS COSMOS";"MH";"7";"199";"ULSAN, KOREA";"32";"16";"8";"268";"-1"
"1884";"3550154";"566621000";"PERSEVERANCE V";"SG";"8";"225";"JP SGM";"36";"186";"10";"346";"0"
"1885";"660684";"431000580";"KAIOMARU";"JP";"2";"55";"JP KUH 2";"8";"20";"4";"268";"720"
"1886";"662913";"431300159";"FERRY AZALEA";"JP";"6";"195";"JP AFG";"29";"29";"7";"55";"0"
"1887";"660753";"431000678";"ISEMARU";"JP";"8";"105";"JP KSM SE JX-9";"16";"84";"4";"52";"720"
"1888";"458297";"370285000";"SKY VENUS";"PA";"7";"106";"JP TMK OFF";"15";"88";"11";"188";"0"
"1889";"665452";"432777000";"KATSURA";"JP";"7";"300";"JP NGO";"50";"262";"30";"148";"0"
"1890";"713940";"538004777";"MAPLE OCEAN";"MH";"7";"169";"RU PSE";"27";"144";"10";"75";"0"
"1891";"665132";"432356000";"SHINMICHIMARU";"JP";"8";"105";"JP ISW";"16";"84";"6";"306";"0"
"1892";"121763";"209225000";"YURI SENKEVICH";"CY";"8";"247";"JP SAK";"42";"203";"29";"88";"6"
"1893";"663777";"431500004";"TOSHINMARU";"JP";"8";"76";"JP TXD OFF";"11";"65";"3";"286";"0"
"1894";"660691";"431000592";"NITTAN MARU NO.10";"JP";"8";"105";"JP SKT";"16";"77";"13";"198";"0"
"1895";"677583";"457759000";"RYOFU";"MN";"7";"95";"HIC JP";"15";"52";"5";"86";"0"
"1896";"663888";"431500382";"IZUMIMARU NO.7";"JP";"8";"72";"JP HKP OFF";"13";"55";"10";"279";"0"
"1897";"462483";"372259000";"SKY QUEEN";"PA";"7";"90";"KR KPO";"14";"78";"10";"234";"0"
"1898";"346553";"273324700";"KAPITAN SOSENKOV";"RU";"7";"140";"RU KHO";"17";"112";"12";"107";"0"
"1899";"664652";"431700585";"AOBAMARU";"JP";"7";"113";"JP SYZ OFF";"18";"90";"13";"24";"0"
"1900";"777670";"725005570";"RAULI N";"CL";"7";"175";"TOYAMA JAPAN";"26";"144";"12";"268";"0"
"1901";"3333978";"431203000";"HOSEI MARU NO.226";"JP";"0";"78";"JP SRO OFF";"14";"61";"10";"359";"0"
"1902";"689537";"477802500";"YM ENDEAVOUR";"HK";"7";"229";"COLUMBIA RIVER P/S";"32";"201";"22";"55";"0"
"1903";"664088";"431501745";"KOHO MARU NO.21";"JP";"8";"72";"JP KIJ E";"12";"58";"3";"227";"0"
"1904";"662593";"431101173";"DAI38NISSHOUMARU";"JP";"7";"76";"JP>SYZ";"12";"70";"9";"167";"0"
"1905";"714219";"538005104";"SINOKOR TIANJIN";"MH";"7";"136";"ISS,JP";"22";"120";"11";"236";"0"
"1906";"756058";"636016125";"CSAV TRAIGUEN";"LR";"7";"300";"RUSKA";"48";"225";"28";"273";"0"
"1907";"664653";"431700588";"HAYATEMARU";"JP";"3";"30";"";"9";"15";"3";"107";"0"
"1908";"1819600";"352737000";"HULK0-ONAGO 0";"PA";"7";"80";"";"13";"27";"20";"55";"0"
"1909";"661582";"431003435";"JYOHOUMARU";"JP";"8";"104";"JP SGM 3-C (SENDAI";"14";"80";"5";"149";"0"
"1910";"664037";"431501639";"KAKUSEN MARU";"JP";"8";"76";"JP FTX OFF";"11";"63";"5";"291";"0"
"1911";"661642";"431003671";"SUISEN";"JP";"6";"224";"JP TMK XX";"26";"43";"19";"39";"0"
"1912";"726431";"563447000";"HK CHALLENGER";"SG";"7";"210";"SAN VICENTE";"36";"182";"23";"55";"0"
"1913";"3350974";"431800709";"RYUOH";"JP";"7";"81";"JP HKP.4";"14";"60";"4";"278";"0"
