"id_marine";"identifier";"mmsi";"name";"flag";"type";"length";"port";"col11";"col12";"col13";"col14";"col15"
"2045";"411871";"353237000";"WORLD SIRIUS";"PA";"7";"169";"KHOLMSK";"27";"145";"18";"124";"0"
"2046";"758686";"636092266";"SANTA ROSA";"LR";"7";"300";"KRPUS>MXZLO";"43";"227";"17";"62";"0"
"2047";"664121";"431501802";"KINYUU MARU";"JP";"8";"104";"JP AOM";"16";"82";"2";"281";"0"
"2048";"462715";"372394000";"ESPRIT LOTUS";"PA";"7";"210";"VN DQT";"32";"180";"12";"52";"0"
"2049";"661048";"431001401";"SHOEI MARU";"JP";"8";"105";"JP SGM JXE-2 OFF";"16";"85";"6";"102";"0"
"2050";"3648743";"477314100";"OOCL HOCHIMINH CITY";"HK";"7";"335";"LONGBEACH";"43";"240";"23";"51";"0"
"2051";"1196337";"431004154";"SHINHO";"JP";"7";"79";"JP HKP";"14";"61";"9";"308";"0"
"2052";"663440";"431400515";"SHINKOU MARU NO.35";"JP";"8";"75";"JP KIJ NIIGATA EW";"11";"58";"8";"49";"0"
"2053";"1037411";"352688000";"FELIXSTOWE BRIDGE";"PA";"7";"294";"VANCOUVER";"31";"221";"21";"54";"0"
"2054";"157174";"219476000";"SOVEREIGN MAERSK";"DK";"7";"347";"VOSTOCHNIY";"43";"244";"22";"279";"0"
"2055";"660876";"431000913";"RYUKAKU";"JP";"7";"74";"JP HHE";"12";"64";"3";"54";"0"
"2056";"661846";"431004378";"RYUJIN";"JP";"7";"81";"JP TMK 2E";"15";"64";"3";"257";"0"
"2057";"400636";"566119000";"SEA LAND COMET";"SG";"7";"293";"VOSTOCHINY";"32";"221";"16";"263";"-2"
"2058";"660948";"431001052";"HOUWAMARU";"JP";"8";"65";"JP OTR";"10";"49";"3";"227";"0"
"2059";"339341";"271042638";"NURI BEY";"TR";"7";"229";"U.A.E";"32";"193";"10";"265";"0"
"2060";"664234";"431600175";"SENYO MARU";"JP";"7";"115";"JP HKP 2";"18";"84";"15";"103";"-720"
"2061";"420122";"357098000";"HYUNDAI DYNASTY";"PA";"7";"294";"PANAMA CANAL";"47";"219";"24";"55";"0"
"2062";"421456";"357805000";"SKYFROST";"PA";"7";"153";"FISHING GROUND";"22";"106";"11";"268";"-5"
"2063";"664770";"431800401";"AVRORA OKUSHIRI";"JP";"6";"76";"JP ESI";"15";"27";"0";"103";"0"
"2064";"755972";"636016003";"HYUNDAI PRIVILEGE";"LR";"7";"255";"MXZLO";"38";"199";"10";"56";"0"
"2065";"660800";"431000767";"SHINJU MARU NO.2";"JP";"8";"86";"JP TAP OFF";"15";"65";"12";"145";"-720"
"2066";"685339";"477077700";"COSCO HAIFA";"HK";"7";"261";"PANAMA";"32";"190";"19";"59";"0"
"2067";"674448";"441834000";"IRIS";"KR";"7";"126";"ZHOVSHAN/CHINA";"18";"99";"6";"232";"0"
"2068";"685180";"477049800";"MOUNT OWEN";"HK";"7";"169";"VANCOUVER";"27";"85";"9";"105";"0"
"2069";"1022373";"477518400";"KOTA LEKAS";"HK";"7";"255";"PUSAN";"37";"198";"23";"271";"0"
"2070";"547494";"412521060";"XIN LIANG";"CN";"7";"93";"JP KUH";"16";"76";"13";"257";"0"
"2071";"664191";"431560000";"KEIFU MARU";"JP";"3";"81";"OCEAN RESEARCH";"13";"24";"2";"143";"0"
"2072";"690462";"477958400";"COLUMBIA";"HK";"7";"266";"QINGDAO,CHINA";"32";"200";"16";"271";"0"
"2073";"661601";"431003485";"TENJINMARU NO11";"JP";"7";"75";"JP KZU";"12";"62";"3";"149";"720"
"2074";"661269";"431002433";"SEIYU MARU";"JP";"0";"75";"JP TMK N";"12";"63";"9";"53";"0"
"2075";"214949";"241311000";"HANJIN GERMANY";"GR";"7";"349";"PUSAN NEW PORT";"46";"256";"27";"268";"0"
"2076";"348763";"273358200";"VOLGA-4011";"RU";"7";"140";"RU NEV";"17";"112";"12";"132";"-720"
"2077";"407391";"351296000";"NAVIOS FELICITY";"PA";"7";"225";"SHANGHAI";"32";"196";"7";"274";"0"
"2078";"662271";"431036000";"MIYAMARU NO.3";"JP";"8";"105";"JP SGM OFF";"16";"85";"12";"151";"0"
"2079";"674181";"441607000";"KEUN YANG";"KR";"7";"122";"TMK.JP";"19";"97";"9";"53";"0"
"2080";"458552";"370413000";"GLOBAL ARC";"PA";"7";"177";"AFOGNAK, ALASKA";"28";"152";"9";"53";"0"
"2081";"345468";"273191300";"OBAYATELNYY";"RU";"7";"55";"JP ISW";"10";"29";"6";"292";"0"
"2082";"662054";"431005216";"KIRISHIMA MARU NO.3";"JP";"8";"90";"JP MUR OFF";"14";"71";"2";"13";"0"
"2083";"663663";"431401968";"87TOYOMARU";"JP";"8";"104";"JP ANE";"16";"80";"13";"55";"0"
"2084";"462707";"372387000";"MAEMI PIONEER";"PA";"7";"189";"NAKHODKA RUSSIA";"32";"160";"24";"271";"0"
"2085";"660667";"431000548";"SUMISEMARU NO 7";"JP";"7";"106";"JP KIJ WD OFF";"17";"85";"15";"290";"0"
"2086";"410787";"352939000";"TAI PLENTY";"PA";"7";"225";"LYG CHINA";"32";"196";"14";"269";"0"
"2087";"555729";"413138000";"XIN FANG CHENG";"CN";"7";"263";"QING DAO";"32";"194";"22";"277";"-6"
"2088";"701152";"515426000";"SMILE";"KH";"7";"90";"JP NIG";"15";"72";"6";"285";"0"
"2089";"662974";"431300454";"SHINSEI MARU";"JP";"8";"86";"JP MUR OFF";"14";"67";"3";"327";"0"
"2090";"764864";"667830000";"SAGAMIKO";"SL";"7";"75";"RUS PLAST UN OFF";"12";"62";"6";"285";"0"
"2091";"731159";"565819000";"MAERSK ALGOL";"SG";"7";"338";"MANZANILLO";"46";"247";"17";"41";"0"
"2092";"661528";"431003276";"KIRISHIMA MARU NO.2";"JP";"8";"105";"JP AFG OFF";"16";"82";"2";"291";"0"
"2093";"660575";"431000389";"YURAMARU";"JP";"7";"86";"JP TMK C";"13";"75";"10";"199";"0"
"2094";"663715";"431402064";"DAISENZANMARU";"JP";"0";"72";"";"13";"58";"10";"59";"0"
"2095";"406886";"351043000";"NSS DYNAMIC";"PA";"7";"317";"JP MUR OFF";"55";"276";"38";"321";"0"
"2096";"462747";"372409000";"HL PORT HEDLAND";"PA";"7";"292";"CARBK";"45";"248";"15";"61";"0"
"2097";"414019";"354213000";"ORIENT HOPE";"PA";"7";"176";"US LAX";"29";"155";"16";"99";"0"
"2098";"726566";"563518000";"CRYSTAL SEA";"SG";"7";"115";"JP AXT";"20";"98";"5";"53";"0"
"2099";"663921";"431500526";"KIRISHIMA MARU NO.7";"JP";"8";"104";"JP SKT OFF";"16";"79";"1";"299";"0"
"2100";"463274";"372688000";"NEW INSPIRATION";"PA";"7";"176";"KAMIISO,JP";"29";"156";"17";"103";"0"
"2101";"1883669";"352821000";"GLOBAL HERO";"PA";"7";"175";"CHANGSU CHINA";"28";"153";"18";"228";"0"
"2102";"663779";"431500008";"TOMISU MARU";"JP";"7";"73";"CLASS B";"12";"58";"3";"287";"0"
"2103";"409838";"352492000";"EVER SUPERB";"PA";"7";"300";"LOS ANGELES";"43";"211";"26";"60";"0"
"2104";"370669";"309947000";"HYPERION";"BS";"7";"148";"JP TMK";"23";"135";"18";"87";"0"
"2105";"2005108";"431006029";"ACOPU NO7";"JP";"0";"75";"";"12";"65";"2";"232";"0"
"2106";"664137";"431501837";"KINTAI MARU";"JP";"8";"105";"JP KSM OFF";"16";"80";"13";"107";"0"
"2107";"662536";"431101016";"KAKUSHU MARU";"JP";"8";"106";"JP MUR OFF";"16";"86";"8";"335";"-720"
"2108";"420894";"357497000";"TAI JI";"PA";"7";"125";"DALIAN CN";"18";"99";"8";"233";"0"
"2109";"649817";"414103000";"ZHI XIANG";"CN";"7";"229";"KALAMA USA";"32";"197";"8";"60";"0"
"2110";"144974";"212353000";"HYUNDAI SHANGHAI";"CY";"7";"304";"PUSAN";"40";"226";"14";"266";"-2"
"2111";"689859";"477848700";"CSCL EAST CHINA SEA";"HK";"7";"335";"CN YANG SHAN";"49";"253";"20";"271";"0"
"2112";"152368";"218364000";"FRANKFURT EXPRESS";"DE";"7";"335";"CN YTN > CA VAN";"43";"249";"14";"62";"1"
"2113";"712719";"538003445";"OURANIA LUCK";"MH";"7";"225";"TOKACHI";"32";"199";"22";"53";"0"
"2114";"463455";"372779000";"HAKUTA";"PA";"7";"229";"TIANJIN,CHN";"32";"203";"22";"267";"0"
"2115";"406904";"565391000";"UNICORN OCEAN";"SG";"7";"183";"YANTAI,CHINA";"30";"159";"19";"262";"0"
"2116";"188729";"235010710";"EVER SMILE";"GB";"7";"300";"KAOHSIUNG";"43";"211";"33";"266";"0"
"2117";"688521";"477634700";"ZIM NEW YORK";"HK";"7";"294";"PANAMA";"32";"222";"10";"57";"0"
"2118";"664664";"431701670";"NO.2SEIRYOMARU";"JP";"0";"34";"";"7";"22";"2";"274";"0"
"2119";"660884";"431000926";"WATATSUMI";"JP";"8";"105";"JP HKP 4";"16";"82";"3";"301";"0"
"2120";"660942";"431001045";"TAIRAMARU";"JP";"8";"70";"JP AOM OFF";"11";"56";"2";"288";"720"
"2121";"722280";"548845000";"GINTO";"PH";"7";"120";"JP MUR";"22";"98";"6";"55";"0"
"2122";"755248";"636015140";"BOX MARLIN";"LR";"7";"294";"PUSAN (NEWPORT";"32";"220";"15";"53";"2"
"2123";"408968";"352058000";"HANJIN CHINA";"PA";"7";"350";"LONGBEACH.USA";"46";"259";"9";"55";"0"
"2124";"412985";"353780000";"ALEXANDRIA BRIDGE";"PA";"7";"262";"KRPUS";"32";"191";"23";"56";"0"
"2125";"713740";"538004560";"PAN AMBER";"MH";"7";"189";"BUSAN";"30";"156";"11";"264";"0"
"2126";"460702";"371429000";"HYUNDAI VOYAGER";"PA";"7";"294";"BUSAN";"32";"215";"22";"262";"0"
"2127";"730917";"565717000";"CHEMBULK VIRGINGORDA";"SG";"8";"170";"YANCOUVER BC";"26";"151";"7";"54";"0"
"2128";"733432";"566942000";"WAN HAI 517";"SG";"7";"259";"MX ZLO";"37";"197";"26";"57";"0"
"2129";"689355";"477770300";"MAERSK SALINA";"HK";"7";"334";"VOSTOCHNIY";"46";"242";"14";"263";"0"
"2130";"144960";"212350000";"HYUNDAI BUSAN";"CY";"7";"304";"USLAX";"42";"228";"20";"54";"-3"
"2131";"417735";"355980000";"KING COAL";"PA";"7";"225";"MX ESE";"32";"194";"11";"52";"0"
"2132";"662362";"431100205";"NITTAN MARU";"JP";"8";"105";"JP TMK OFF";"17";"77";"2";"51";"0"
